id,callingPartyNumber,originalCalledPartyNumber,duration
807,b001179534711001,7777,37
808,548080643,99,19
809,1031,1036,3
810,b001179530111001,7777,3
811,b001179530111001,7777,3
812,1015,556205617,43
813,b001179533211001,7777,42
814,b001179533211001,7777,42
815,2703,1036,6
816,537575004,99,30
817,537575004,99,10
818,b001179532911001,7777,43
819,b001179532911001,7777,43
820,558986961,99,49
821,1030,1049,76
822,b001179537211001,7777,76
823,b001179537211001,7777,76
824,b001179541111001,7777,76
825,b001179541111001,7777,76
826,,99,10
827,1954,1950,13
828,b001179517611001,7777,13
829,b001179517611001,7777,12
830,b002179181011001,7777,13
831,b002179181011001,7777,13
832,,1000,6
833,2703,1040,51
834,b001179517111001,7777,51
835,b001179517111001,7777,50
836,558986961,99,21
837,,99,13
838,b001179532911001,7777,27
839,b001179532911001,7777,27
840,,1000,6
841,b001179532911001,7777,1
842,b001179532911001,7777,1
843,558986961,99,42
844,b001179532911001,7777,1
845,b001179532911001,7777,1
846,1029,1031,6
847,b001179532911001,7777,5
848,b001179532911001,7777,5
849,537575004,90,245
850,b001179532911001,7777,24
851,b001179532911001,7777,24
852,1000,9.72E+11,44
853,b001179548511001,7777,43
854,b001179548511001,7777,43
855,1954,1950,34
856,b001179517611001,7777,34
857,b001179517611001,7777,34
858,b002179181011001,7777,34
859,b002179181011001,7777,34
860,1421,1017,8
861,b001179514911001,7777,7
862,b001179514911001,7777,7
863,b001179484011001,7777,7
864,b001179484011001,7777,7
865,1029,537575004,16
866,b001179532911001,7777,16
867,b001179532911001,7777,16
868,1009,1409,27
869,b001179468211001,7777,27
870,b001179468211001,7777,27
871,b001179534711001,7777,28
872,b001179534711001,7777,28
873,1006,1036,1279
874,b001179534011001,7777,1279
875,b001179534011001,7777,1279
876,b001179516011001,7777,1279
877,b001179516011001,7777,1279
878,1421,1422,40
879,b001179470511001,7777,39
880,b001179470511001,7777,39
881,b001179484011001,7777,39
882,b001179484011001,7777,39
883,1006,1007,9
884,b001179513711001,7777,9
885,b001179513711001,7777,8
886,b001179534011001,7777,8
887,b001179534011001,7777,8
888,1013,538039027,43
889,b001179516711001,7777,43
890,b001179516711001,7777,43
891,1036,2703,40
892,b001179516011001,7777,40
893,b001179516011001,7777,40
894,1013,502787287,50
895,b001179516711001,7777,50
896,b001179516711001,7777,50
897,548080643,93,1120
898,b001179533011001,7777,1119
899,b001179533011001,7777,1119
900,1000,1030,59
901,b001179548511001,7777,58
902,b001179548511001,7777,58
903,b001179541111001,7777,59
904,b001179541111001,7777,59
905,1309,1703,27
906,b001179471411001,7777,26
907,b001179471411001,7777,26
908,b001179460411001,7777,26
909,b001179460411001,7777,26
